node,x,y
1,410497.7652,4226065.651
2,410210.9397,4226487.615
3,410210.9397,4226487.615
4,410318.4993,4226790.988
5,410318.4993,4226790.988
6,410357.1104,4226967.496
7,410357.1104,4226967.496
8,410346.0787,4227171.584
9,410346.0787,4227171.584
10,410318.4993,4227408.766
11,410318.4993,4227408.766
12,410395.7215,4227629.401
13,410500.5231,4227662.496
14,410533.6184,4227772.814
15,410533.6184,4227772.814
16,410555.6819,4227932.774
17,410555.6819,4227932.774
18,410506.039,4228076.187
19,410506.039,4228076.187
20,410401.2374,4228214.084
21,410401.2374,4228214.084
22,410406.7533,4228346.465
23,410406.7533,4228346.465
24,410428.8168,4228511.941
25,410428.8168,4228511.941
26,410428.8168,4228660.87
27,410428.8168,4228660.87
28,410390.2057,4228760.155
29,410390.2057,4228760.155
30,410368.1422,4228964.243
31,410368.1422,4228964.243
32,410340.5628,4229190.394
33,410340.5628,4229190.394
34,410263.3405,4229433.092
35,410263.3405,4229433.092
36,410141.9913,4229543.409
37,410141.9913,4229543.409
38,409932.3881,4229797.14
39,409932.3881,4229797.14
40,409766.9119,4229874.362
41,409766.9119,4229874.362
42,409557.3086,4229907.457
43,409557.3086,4229907.457
44,409491.1181,4229874.362
45,409491.1181,4229874.362
46,409303.5784,4229719.917
47,409303.5784,4229719.917
48,409193.2609,4229686.822
49,409193.2609,4229686.822
50,409193.2609,4229764.044
51,409193.2609,4229764.044
52,409071.9117,4229741.981
53,409071.9117,4229741.981
54,409038.8164,4229830.235
55,409038.8164,4229830.235
56,408917.4672,4229929.521
57,408917.4672,4229929.521
58,408818.1815,4230128.092
59,408674.7687,4230128.092
60,408674.7687,4230128.092
61,408608.5782,4230006.743
62,408608.5782,4230006.743
63,408498.2608,4230083.965
64,408498.2608,4230083.965
65,408365.8798,4230083.965
66,408365.8798,4230083.965
67,408277.6258,4229874.362
68,408178.3401,4229620.632
69,407990.8003,4229510.314
70,407792.2289,4229576.505
71,407582.6256,4229797.14
72,407472.3081,4229940.552
73,407395.0859,4230061.902
74,407295.8002,4230216.346
75,407229.6097,4230370.791
76,407262.7049,4230536.267
77,407306.8319,4230734.838
78,407361.9907,4230856.188
79,407406.1176,4230999.6
80,407494.3716,4231198.172
81,407494.3716,4231198.172
82,407670.8796,4231352.616
83,407670.8796,4231352.616
84,407759.1336,4231551.188
85,407759.1336,4231551.188
86,407726.0384,4231683.569
87,407726.0384,4231683.569
88,407604.6891,4231771.823
89,407604.6891,4231771.823
90,407494.3716,4231849.045
91,407494.3716,4231849.045
92,407626.7526,4231904.204
93,407626.7526,4231904.204
94,407494.3716,4232014.521
95,407494.3716,4232014.521
96,407626.7526,4232102.775
97,407670.8796,4232113.807
98,407748.1019,4232168.966
99,407748.1019,4232168.966
100,407792.2289,4232323.41
101,407792.2289,4232323.41
102,407913.5781,4232510.95
103,407913.5781,4232510.95
104,407946.6733,4232621.267
105,407946.6733,4232621.267
106,407902.5463,4232797.775
107,407902.5463,4232797.775
108,407858.4193,4232874.998
109,407858.4193,4232874.998
110,407748.1019,4233051.506
111,407748.1019,4233051.506
112,407571.5939,4233117.696
113,407571.5939,4233117.696
114,407488.8558,4233294.204
115,407488.8558,4233294.204
116,407422.6653,4233443.133
117,407422.6653,4233443.133
118,407257.189,4233564.482
119,407257.189,4233564.482
120,407130.3239,4233757.537
121,407130.3239,4233757.537
122,407174.4509,4234011.268
123,407174.4509,4234011.268
124,407075.1652,4234402.895
125,407075.1652,4234402.895
126,407031.0382,4234540.792
127,407031.0382,4234540.792
128,406893.1413,4234662.141
129,406893.1413,4234662.141
130,406788.3397,4234689.72
131,406606.3159,4234640.077
132,406606.3159,4234640.077
133,406562.1889,4234766.942
134,406562.1889,4234766.942
135,406429.8079,4234976.546
136,406429.8079,4234976.546
137,406341.5539,4235252.339
138,406341.5539,4235252.339
139,406341.5539,4235500.554
140,406341.5539,4235500.554
141,406435.3238,4235677.062
142,406435.3238,4235677.062
143,406545.6413,4235820.474
144,406545.6413,4235820.474
145,406562.1889,4235969.403
146,406562.1889,4235969.403
147,406644.927,4236145.911
148,406644.927,4236145.911
149,406755.2445,4236311.387
150,406755.2445,4236311.387
